station,DIFF_TMAX,DIFF_TMIN,DIFF_PRCP,NRECORDS,TMAX,TMIN,PRCP
GM000004063,1805150.67,2321587.83,3506704.8,47418,38.0688909275,48.960053777,73.9530304947
CHM00057411,804232.35,630367.03,3153617.71,21101,38.1134709255,29.8737988721,149.453471873
USW00013753,1878892.485,1542208.8625,6240152.9025,49244,38.1547495126,31.3177008874,126.719050087
CA001012628,194009.14,285377.15,566062.15,5084,38.1607277734,56.1324055862,111.34188631
USR0000CHOR,235586.94,170307.52,385818.04,6172,38.1702754375,27.5935709657,62.5110239793
USW00063893,22642.525,20330.4,61836.99,593,38.183010118,34.2839797639,104.278229342
USC00268475,579351.6925,959624.18,1078116.87,15168,38.1956548325,63.2663620781,71.0783801424
JAW00043315,5543.46,3644.93,12177.25,145,38.2307586207,25.1374482759,83.9810344828
CHM00053959,738017.01,658386.2,1909029.06,19295,38.2491324177,34.1221145374,98.9390546774
JAW00043323,708094.58,1765753.26,4110882.83,18499,38.2774517541,95.4512816909,222.221894697
USC00423046,1525082.72486,3999947.10243,2869525.54042,39815,38.3042251629,100.463320418,72.0714690548
USC00078269,230574.02,251684.46,850492.76,6015,38.3331704073,41.8428029925,141.395305071
USC00451426,1532690.34727,2635051.58626,4115262.97379,39961,38.3546544698,65.9405817236,102.981981777
USC00063905,86140.51,157474.73,366249.8,2245,38.3699376392,70.1446458797,163.140222717
USC00317121,1525727.88285,1832374.0675,9825825.19031,39691,38.4401472084,46.1659839132,247.558015427
CHM00051709,813682.95,1179027.07,1524289.55,21121,38.5248307372,55.8225022489,72.1693835519
USC00455822,1478892.72861,3273128.73917,2622853.04076,38340,38.573101946,85.3711199574,68.4103557841
USW00024163,167605.53,351303.67,270258.32,4345,38.5743452244,80.8523981588,62.1998434983
USC00420400,1519979.32458,2527656.92111,2775322.25799,39402,38.5761972637,64.150472593,70.4360757826
CHM00058424,814821.3,619066.45,4582813.27,21121,38.578727333,29.3104706217,216.978991052
USW00093732,1871975.1894,1496114.43247,6327069.15433,48507,38.5918566268,30.8432686514,130.436208265
CHM00057067,801860.79,677931.07,2011243.77,20756,38.6327225862,32.6619324533,96.8993915013
JA000047618,816487.67,1385825.95,2785271.75,21119,38.6612846252,65.6198659974,131.884641792
JA000047800,818504.49,930038.22,8824888.85,21119,38.7567825181,44.0379857001,417.864901274
GMW00034041,90823.3,96022.38,193158.71,2343,38.763679044,40.9826632522,82.4407639778
JA000047891,819360.11,879421.57,3228953.83,21120,38.7954597538,41.6392788826,152.886071496
USC00460844,1644201.00014,2343059.60115,3887734.98623,42352,38.8222752205,55.3234699932,91.7957826367
GME00120982,948654.95,1064032.3,1903715.89,24408,38.8665580957,43.5935881678,77.9955707145
USC00265990,1656518.59711,5303731.28607,2873202.89206,42607,38.8790245057,124.480279909,67.4349964104
USC00065077,864955.18,1523975.26,3561690.49,22241,38.8901209478,68.5209864664,160.140753114
USC00440766,1642046.5584,1917114.97125,4741071.50334,42211,38.9009158372,45.417426056,112.318388651
JA000047649,801689.18,992453.86,3752453.17,20605,38.9075069158,48.1656811454,182.113718515
USC00041497,1519663.35812,5056628.20242,3375481.13846,39051,38.9148384963,129.487803191,86.4377644224
USC00444909,1613794.15222,1779948.95694,5303411.52643,41391,38.9890109498,43.0032846982,128.129581949
JA000047741,823680.29,903203.39,4727393.89,21119,39.0018604101,42.7673369951,223.84553672
USC00376703,70016.19,64763.38,257596.97,1795,39.0062339833,36.0798774373,143.508061281
USC00059278,638888.81,1821092.62,1288152.2,16360,39.0518832518,111.313729829,78.7379095355
USC00181710,1403449.37667,1210094.65,4494498.24222,35913,39.0791461773,33.6951702726,125.149618306
RSM00037001,692874.17,534740.57,1551119.84,17727,39.0858109099,30.1653167485,87.5004140577
JA000047776,763981.78,774718.94,4678108.89,19546,39.0863491251,39.6356768648,239.338426788
USW00013868,158030.45,209791.19,509546.85,4040,39.1164480198,51.9285123762,126.125457921
USC00078510,38334.45,33307.46,128480.21,979,39.156741573,34.0219203269,131.236169561
USC00072730,1480653.34,1299004.23,5284685.4,37806,39.1645066921,34.3597373433,139.784304079
USC00353908,1657850.51028,2111512.32694,6883989.28072,42284,39.2075137233,49.9364375874,162.803643949
USC00423976,1483589.62298,2886736.27464,2653456.18574,37826,39.2214250246,76.3161918956,70.1490029542
RSM00037089,683970.37,513759.74,1263092.68,17438,39.2229825668,29.4620793669,72.4333455672
USW00093720,863796.9575,920450.675,3261248.81,22014,39.2385280958,41.8120593713,148.144308622
USC00363665,1705065.59229,2170730.73486,4524881.40097,43397,39.2899415234,50.0202948328,104.267147521
IT000016320,842279.0,476982.16,2083468.8,21437,39.2908989131,22.2504156365,97.1903158091
USC00184780,793964.04,961448.18,2241171.1,20198,39.3090424795,47.6011575404,110.9600505
USC00053246,1523969.03285,3501127.53264,2650330.13743,38754,39.3241738362,90.3423525994,68.3885569859
USC00279740,405599.92,1205525.69,1264784.94,10288,39.4245645412,117.177847006,122.93788297
USC00063137,87892.5,132790.69,356055.63,2229,39.431359354,59.5741094661,159.737833109
USC00305310,1537691.14576,1779266.57903,4648790.55696,38959,39.4694716436,45.6702322705,119.325202314
USC00109294,1546580.79843,4975397.79526,2726872.79796,39162,39.4918747364,127.046570534,69.6305806128
CHM00051811,805721.76,1198997.51,1436948.25,20390,39.5155350662,58.8032128494,70.473185385
USW00014792,1145794.3525,1036025.5575,3605925.4225,28947,39.5824904999,35.7904293191,124.569918213
JA000047756,774915.72,920125.08,3603745.53,19552,39.6335781506,47.0604071195,184.315953867
CHM00054511,858629.36,1020810.51,2694262.91,21626,39.7035679275,47.2029274947,124.58443124
