,continent,year,TMAX,TMIN,PRCP,NOBS
272,oceania,1938,22.7465387252,13.1386566141,2.2646822677,1459
273,oceania,1939,22.422260274,12.8677739726,2.85344178082,1460
274,oceania,1940,23.0726247437,12.8165755297,2.10057988586,1463
275,oceania,1941,22.3837217272,12.8125771076,2.27358625173,1459
276,oceania,1942,22.6035958904,13.158869863,2.92835760491,1460
277,oceania,1943,21.9615410959,12.3093835616,2.58247559252,1460
278,oceania,1944,22.754451275,12.3647313297,2.00161559979,1464
279,oceania,1945,22.5639269406,12.7224429224,2.83878068602,1460
280,oceania,1946,22.5253310502,12.3784931507,2.67555221244,1460
281,oceania,1947,22.4530479452,12.7365410959,3.18062777234,1460
282,oceania,1948,22.4787568306,12.3759904372,2.47133424408,1464
283,oceania,1949,22.257739726,12.5485616438,3.14155609915,1460
284,oceania,1950,22.4242123288,12.9859589041,3.6205494401,1460
285,oceania,1951,22.393390411,12.3976369863,2.71461244292,1460
286,oceania,1952,22.4098019126,12.675307377,2.94322328476,1464
287,oceania,1953,22.6437100457,12.5393607306,2.5843561718,1460
288,oceania,1954,22.5121232877,12.7756506849,2.76814359347,1460
289,oceania,1955,22.4999657534,12.9569178082,3.54830188875,1460
290,oceania,1956,22.3678620219,12.5913592896,3.49713321742,1464
291,oceania,1957,22.7741438356,12.4903196347,1.98226968313,1460
292,oceania,1958,22.5832534247,12.9151940639,2.88650813171,1460
293,oceania,1959,22.5835273973,12.8986415525,2.72602001222,1460
294,oceania,1960,22.0756375228,12.1609403461,2.60957574466,1464
295,oceania,1961,22.8478995434,12.8613127854,2.69353349985,1460
296,oceania,1962,21.9661278539,11.4863105023,2.60323737426,1825
297,oceania,1963,21.6380547945,12.0950593607,3.21620728005,1825
298,oceania,1964,21.7233060109,11.5330327869,2.60784295616,1830
299,oceania,1965,22.4319360731,11.7433333333,2.20602440172,1825
300,oceania,1966,21.7503059361,11.3407945205,2.44381585741,1825
301,oceania,1967,21.8748493151,11.9538675799,2.65758943998,1825
302,oceania,1968,22.0115300546,11.6381010929,2.19967624206,1830
303,oceania,1969,22.2999497717,11.8474748858,2.3757930557,1825
304,oceania,1970,22.0256392694,11.2726484018,2.71766311784,1825
305,oceania,1971,21.6172063927,11.2753835616,2.65701243129,1825
306,oceania,1972,22.1657868852,11.5680692168,2.55098215101,1830
307,oceania,1973,22.2339360731,12.3284694064,2.8944506239,1825
308,oceania,1974,21.4991223744,11.6445707763,3.08713783978,1825
309,oceania,1975,22.0780593607,11.8634794521,2.6132650146,1825
310,oceania,1976,22.1369899818,11.7977367942,2.73205616359,1830
311,oceania,1977,22.6075068493,11.7565707763,2.13598691177,1825
312,oceania,1978,21.996543379,11.9103926941,2.96181316592,1825
313,oceania,1979,22.5870730594,11.9423835616,1.9050418435,1825
314,oceania,1980,23.0110018215,12.1396265938,2.00724459135,1830
315,oceania,1981,22.3373972603,12.1268767123,2.54675112388,1825
316,oceania,1982,22.5207853881,11.6335251142,2.02774921402,1825
317,oceania,1983,22.1726255708,12.4545707763,2.85547718862,1825
318,oceania,1984,21.7974590164,11.5936020036,2.75645709153,1830
319,oceania,1985,22.2101552511,11.9124474886,2.39533443756,1825
320,oceania,1986,22.0404109589,11.5078310502,2.15279662377,1825
321,oceania,1987,22.3115981735,11.9038082192,2.35137164729,1825
322,oceania,1988,22.7576593807,12.4872176685,3.04506306142,1830
323,oceania,1989,21.9510593607,11.9522283105,2.82824795657,1825
324,oceania,1990,22.131283105,11.985716895,2.95513918755,1825
325,oceania,1991,22.7308356164,11.9946621005,2.35133215149,1825
326,oceania,1992,21.6912112933,11.6618943534,2.68983545012,1830
327,oceania,1993,22.3927305936,11.8264931507,2.11151563969,1825
328,oceania,1994,22.6397214612,11.4862785388,1.84378333978,1825
329,oceania,1995,22.0341552511,11.8200958904,2.57040609256,1825
330,oceania,1996,22.2273542805,11.5752823315,2.93450504691,1830
331,oceania,1997,22.6447269406,11.8372136986,2.13392010509,1825
332,oceania,1998,22.7856977169,12.326973516,2.65041132247,1825
333,oceania,1999,22.3724666667,12.0892063927,2.6987459542,1825
334,oceania,2000,22.6309480874,11.8823943534,2.04651501116,1830
335,oceania,2001,22.6166146119,11.6564484018,2.44213946214,1825
336,oceania,2002,23.1510045662,11.6570228311,1.85573181944,1825
337,oceania,2003,22.6058767123,11.8235844749,2.33167504224,1825
338,oceania,2004,22.9371894353,11.7102941712,2.40433265858,1830
339,oceania,2005,23.0048812785,11.9983187215,2.18570475902,1825
340,oceania,2006,22.9579041096,11.6008748858,1.9554819898,1825
341,oceania,2007,22.9575890411,12.1037808219,2.50299489091,1825
342,oceania,2008,22.3126502732,11.585359745,2.44178895304,1830
343,oceania,2009,23.146283105,12.2112009132,2.23823156304,1825
344,oceania,2010,22.3677872146,12.3003817352,2.75877473911,1825
345,oceania,2011,22.3378849315,12.2517041096,2.92114298304,1825
346,oceania,2012,22.5436384335,11.8861748634,2.35391516316,1830
347,oceania,2013,23.0411552511,12.2683561644,2.55605215089,1825
348,oceania,2014,23.1558630137,12.4591506849,2.12868611449,1825
349,oceania,2015,22.8092237443,12.0469315068,2.54152591427,1825
350,oceania,2016,28.0021624473,17.0406469761,2.45766836539,474
